Connected
         12897911 function calls (12747062 primitive calls) in 105.288 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 sprite.py:613(LayeredUpdates)
        1    0.001    0.001    0.001    0.001 sprite.py:67(<module>)
        1    0.000    0.000    0.000    0.000 sprite.py:943(LayeredDirty)
      138    0.000    0.000    0.003    0.000 sre_compile.py:178(_compile_charset)
      138    0.002    0.000    0.003    0.000 sre_compile.py:207(_optimize_charset)
      372    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       20    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
   348/21    0.002    0.000    0.006    0.000 sre_compile.py:32(_compile)
      154    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       21    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
       42    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       21    0.000    0.000    0.007    0.000 sre_compile.py:480(_code)
       21    0.000    0.000    0.013    0.001 sre_compile.py:495(compile)
      727    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
     1499    0.001    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
      154    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
      433    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
  500/175    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
       21    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
     1196    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
      884    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
      962    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
       16    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        4    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
       38    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       93    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
    94/21    0.000    0.000    0.006    0.000 sre_parse.py:301(_parse_sub)
   160/21    0.002    0.000    0.006    0.000 sre_parse.py:379(_parse)
       21    0.000    0.000    0.006    0.000 sre_parse.py:663(parse)
       21    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       61    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       61    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
      348    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
